BRNO,IS_WEEKEND,TIME_SLOT,VISITOR_COUNT,CONGESTION_LEVEL,TOTAL_PAYMENT_AMT,AVG_PAYMENT_AMT,STORE_NM,ROAD_NM_CD,ACTIVITY_TYPE_CD
1042594929.0,1,afternoon,2,LOW,19000.0,19000.0,두메촌,3264028.0,1
1042611527.0,0,afternoon,2,LOW,2500.0,2500.0,5월의 정원,3279015.0,1
1042650699.0,0,afternoon,3,LOW,36000.0,18000.0,군산테디베어뮤지엄,4604091.0,3
1042650699.0,1,afternoon,2,LOW,19050.0,19050.0,군산테디베어뮤지엄,4604091.0,3
1042955322.0,0,night,2,LOW,12000.0,12000.0,신세계통닭,3250053.0,2
1044108592.0,1,night,1,LOW,15800.0,15800.0,지티커피,3009002.0,1
1044962189.0,1,morning,4,LOW,22000.0,22000.0,찡찡꼬마김밥첨단,4286722.0,1
1048145690.0,0,afternoon,4,LOW,6500.0,3250.0,CGV,4598334.0,3
1048145690.0,1,afternoon,8,LOW,9500.0,2375.0,CGV,4598334.0,3
1048145690.0,1,morning,4,LOW,45000.0,22500.0,CGV,4598334.0,3
1048145690.0,1,night,2,LOW,13000.0,13000.0,CGV,4598334.0,3
1048146758.0,0,afternoon,3,LOW,5000.0,5000.0,(주)대한다원쉼터,3290003.0,1
1048146758.0,0,morning,8,LOW,39550.0,19775.0,(주)대한다원쉼터,3290003.0,1
1048146758.0,1,afternoon,8,LOW,22500.0,7500.0,(주)대한다원쉼터,3290003.0,1
1048146758.0,1,morning,2,LOW,7500.0,7500.0,(주)대한다원쉼터,3290003.0,1
1048183559.0,0,night,2,LOW,13400.0,13400.0,(주)티머니,3101024.0,2
1048189776.0,1,afternoon,2,LOW,16500.0,16500.0,코레일네트웍스(주) 익산역서 주차장,2269001.0,6
1048191189.0,0,afternoon,1,LOW,29800.0,29800.0,에프알엘코리아 주식회사,3249008.0,2
1048191189.0,0,night,2,LOW,69800.0,69800.0,에프알엘코리아 주식회사,3249008.0,2
1048191189.0,1,afternoon,2,LOW,129700.0,129700.0,에프알엘코리아 주식회사,3249008.0,2
